Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set
-30,-0.311889648,Rat,activation,1,Oct_12_16,Late,Good,5
-25,-0.332641602,Rat,activation,1,Oct_12_16,Late,Good,5
-20,-0.379638672,Rat,activation,1,Oct_12_16,Late,Good,5
-15,-0.537109375,Rat,activation,1,Oct_12_16,Late,Good,5
-10,-0.745544434,Rat,activation,1,Oct_12_16,Late,Good,5
-5,-0.736999512,Rat,activation,1,Oct_12_16,Late,Good,5
0,-0.520935059,Rat,activation,1,Oct_12_16,Late,Good,5
5,-0.372619629,Rat,activation,1,Oct_12_16,Late,Good,5
10,-0.199890137,Rat,activation,1,Oct_12_16,Late,Good,5
15,-0.153503418,Rat,activation,1,Oct_12_16,Late,Good,5
20,-0.094909668,Rat,activation,1,Oct_12_16,Late,Good,5
25,-0.071105957,Rat,activation,1,Oct_12_16,Late,Good,5
30,-0.079345703,Rat,activation,1,Oct_12_16,Late,Good,5
35,-0.082702637,Rat,activation,1,Oct_12_16,Late,Good,5
40,-0.055541992,Rat,activation,1,Oct_12_16,Late,Good,5
45,-0.062561035,Rat,activation,1,Oct_12_16,Late,Good,5
50,-0.060424805,Rat,activation,1,Oct_12_16,Late,Good,5
55,-0.065917969,Rat,activation,1,Oct_12_16,Late,Good,5
60,-0.048217773,Rat,activation,1,Oct_12_16,Late,Good,5
65,-0.049743652,Rat,activation,1,Oct_12_16,Late,Good,5
70,-0.047607422,Rat,activation,1,Oct_12_16,Late,Good,5
75,-0.036010742,Rat,activation,1,Oct_12_16,Late,Good,5
80,-0.042724609,Rat,activation,1,Oct_12_16,Late,Good,5
85,-0.043640137,Rat,activation,1,Oct_12_16,Late,Good,5
90,-0.04119873,Rat,activation,1,Oct_12_16,Late,Good,5
-80,-0.046691895,Rat,activation,2,Oct_12_16,No,Good,5
-75,-0.053405762,Rat,activation,2,Oct_12_16,No,Good,5
-70,-0.028381348,Rat,activation,2,Oct_12_16,No,Good,5
