Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set
-80,-0.046386719,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-75,-0.037231445,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-70,-0.038452148,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-65,-0.025634766,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-60,-0.044555664,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-55,-0.045776367,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-50,-0.062866211,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-45,-0.1171875,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-40,-0.155029297,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-35,-0.209655762,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-30,-0.282897949,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-25,-0.34362793,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-20,-0.596923828,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-15,-1.274719238,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-10,-1.930541992,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-5,-2.177429199,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
0,-2.188720703,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
5,-2.076721191,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
10,-1.92779541,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
15,-1.776123047,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
20,-1.588745117,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
25,-1.437988281,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
30,-1.249694824,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
35,-1.094970703,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
40,-0.960083008,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
45,-0.8203125,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
50,-0.663452148,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
55,-0.491333008,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
60,-0.323181152,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
65,-0.156860352,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
70,0.005493164,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
75,0.038146973,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
80,0.022888184,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
85,0.047302246,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
90,0.060424805,DiDiiiNC,activation,1,Aug_16_17,Late,Good,28
-80,-0.016784668,Gmouse,activation,1,Aug_16_17,No,Good,28
-75,-0.016174316,Gmouse,activation,1,Aug_16_17,No,Good,28
-70,-0.014953613,Gmouse,activation,1,Aug_16_17,No,Good,28
-65,-0.01953125,Gmouse,activation,1,Aug_16_17,No,Good,28
-60,-0.021972656,Gmouse,activation,1,Aug_16_17,No,Good,28
-55,-0.030822754,Gmouse,activation,1,Aug_16_17,No,Good,28
-50,-0.024414063,Gmouse,activation,1,Aug_16_17,No,Good,28
-45,-0.023498535,Gmouse,activation,1,Aug_16_17,No,Good,28
-40,-0.014343262,Gmouse,activation,1,Aug_16_17,No,Good,28
-35,-0.015563965,Gmouse,activation,1,Aug_16_17,No,Good,28
-30,-0.020446777,Gmouse,activation,1,Aug_16_17,No,Good,28
-25,-0.045776367,Gmouse,activation,1,Aug_16_17,No,Good,28
-20,-0.184631348,Gmouse,activation,1,Aug_16_17,No,Good,28
-15,-1.083984375,Gmouse,activation,1,Aug_16_17,No,Good,28
-10,-3.068237305,Gmouse,activation,1,Aug_16_17,No,Good,28
-5,-3.34197998,Gmouse,activation,1,Aug_16_17,No,Good,28
0,-3.33770752,Gmouse,activation,1,Aug_16_17,No,Good,28
5,-3.244628906,Gmouse,activation,1,Aug_16_17,No,Good,28
10,-3.118286133,Gmouse,activation,1,Aug_16_17,No,Good,28
15,-2.996826172,Gmouse,activation,1,Aug_16_17,No,Good,28
20,-2.875366211,Gmouse,activation,1,Aug_16_17,No,Good,28
25,-2.751464844,Gmouse,activation,1,Aug_16_17,No,Good,28
30,-2.622070313,Gmouse,activation,1,Aug_16_17,No,Good,28
35,-2.530212402,Gmouse,activation,1,Aug_16_17,No,Good,28
40,-2.407226563,Gmouse,activation,1,Aug_16_17,No,Good,28
45,-2.314758301,Gmouse,activation,1,Aug_16_17,No,Good,28
50,-2.231750488,Gmouse,activation,1,Aug_16_17,No,Good,28
55,-2.096557617,Gmouse,activation,1,Aug_16_17,No,Good,28
60,-1.934204102,Gmouse,activation,1,Aug_16_17,No,Good,28
65,-1.764526367,Gmouse,activation,1,Aug_16_17,No,Good,28
70,-1.636657715,Gmouse,activation,1,Aug_16_17,No,Good,28
75,-1.502685547,Gmouse,activation,1,Aug_16_17,No,Good,28
80,-1.369934082,Gmouse,activation,1,Aug_16_17,No,Good,28
85,-1.246948242,Gmouse,activation,1,Aug_16_17,No,Good,28
90,-1.146240234,Gmouse,activation,1,Aug_16_17,No,Good,28
-80,-0.019836426,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-75,-0.024108887,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-70,-0.028381348,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-65,-0.020751953,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-60,-0.023193359,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-55,-0.020141602,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-50,-0.053100586,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-45,-0.105895996,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-40,-0.18371582,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-35,-0.269775391,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-30,-0.341796875,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-25,-0.41229248,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-20,-0.578613281,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-15,-1.471557617,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-10,-2.219238281,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-5,-2.337036133,Gmouse,activation,1,Aug_16_17,Yes,Good,28
0,-2.317199707,Gmouse,activation,1,Aug_16_17,Yes,Good,28
5,-2.257385254,Gmouse,activation,1,Aug_16_17,Yes,Good,28
10,-2.165527344,Gmouse,activation,1,Aug_16_17,Yes,Good,28
15,-2.058410645,Gmouse,activation,1,Aug_16_17,Yes,Good,28
20,-1.963500977,Gmouse,activation,1,Aug_16_17,Yes,Good,28
25,-1.876831055,Gmouse,activation,1,Aug_16_17,Yes,Good,28
30,-1.795654297,Gmouse,activation,1,Aug_16_17,Yes,Good,28
35,-1.717834473,Gmouse,activation,1,Aug_16_17,Yes,Good,28
40,-1.63269043,Gmouse,activation,1,Aug_16_17,Yes,Good,28
45,-1.559143066,Gmouse,activation,1,Aug_16_17,Yes,Good,28
50,-1.479187012,Gmouse,activation,1,Aug_16_17,Yes,Good,28
55,-1.43737793,Gmouse,activation,1,Aug_16_17,Yes,Good,28
60,-1.378173828,Gmouse,activation,1,Aug_16_17,Yes,Good,28
65,-1.299743652,Gmouse,activation,1,Aug_16_17,Yes,Good,28
70,-1.213378906,Gmouse,activation,1,Aug_16_17,Yes,Good,28
75,-1.116943359,Gmouse,activation,1,Aug_16_17,Yes,Good,28
80,-1.022644043,Gmouse,activation,1,Aug_16_17,Yes,Good,28
85,-0.939941406,Gmouse,activation,1,Aug_16_17,Yes,Good,28
90,-0.845031738,Gmouse,activation,1,Aug_16_17,Yes,Good,28
-80,-0.012817383,Gmouse,activation,1,Aug_16_17,Late,Good,28
-75,-0.014038086,Gmouse,activation,1,Aug_16_17,Late,Good,28
-70,-0.016784668,Gmouse,activation,1,Aug_16_17,Late,Good,28
-65,-0.018920898,Gmouse,activation,1,Aug_16_17,Late,Good,28
-60,-0.030517578,Gmouse,activation,1,Aug_16_17,Late,Good,28
-55,-0.022583008,Gmouse,activation,1,Aug_16_17,Late,Good,28
-50,-0.054931641,Gmouse,activation,1,Aug_16_17,Late,Good,28
-45,-0.113220215,Gmouse,activation,1,Aug_16_17,Late,Good,28
-40,-0.169677734,Gmouse,activation,1,Aug_16_17,Late,Good,28
-35,-0.238647461,Gmouse,activation,1,Aug_16_17,Late,Good,28
-30,-0.308532715,Gmouse,activation,1,Aug_16_17,Late,Good,28
-25,-0.375061035,Gmouse,activation,1,Aug_16_17,Late,Good,28
-20,-0.58807373,Gmouse,activation,1,Aug_16_17,Late,Good,28
-15,-1.526794434,Gmouse,activation,1,Aug_16_17,Late,Good,28
-10,-2.114257813,Gmouse,activation,1,Aug_16_17,Late,Good,28
-5,-2.215881348,Gmouse,activation,1,Aug_16_17,Late,Good,28
0,-2.213134766,Gmouse,activation,1,Aug_16_17,Late,Good,28
5,-2.167358398,Gmouse,activation,1,Aug_16_17,Late,Good,28
10,-2.071533203,Gmouse,activation,1,Aug_16_17,Late,Good,28
15,-1.989746094,Gmouse,activation,1,Aug_16_17,Late,Good,28
20,-1.90612793,Gmouse,activation,1,Aug_16_17,Late,Good,28
25,-1.827697754,Gmouse,activation,1,Aug_16_17,Late,Good,28
30,-1.744995117,Gmouse,activation,1,Aug_16_17,Late,Good,28
35,-1.654052734,Gmouse,activation,1,Aug_16_17,Late,Good,28
40,-1.586303711,Gmouse,activation,1,Aug_16_17,Late,Good,28
45,-1.516113281,Gmouse,activation,1,Aug_16_17,Late,Good,28
50,-1.439819336,Gmouse,activation,1,Aug_16_17,Late,Good,28
55,-1.384887695,Gmouse,activation,1,Aug_16_17,Late,Good,28
60,-1.342773438,Gmouse,activation,1,Aug_16_17,Late,Good,28
65,-1.239929199,Gmouse,activation,1,Aug_16_17,Late,Good,28
70,-1.159362793,Gmouse,activation,1,Aug_16_17,Late,Good,28
75,-1.094055176,Gmouse,activation,1,Aug_16_17,Late,Good,28
80,-0.976257324,Gmouse,activation,1,Aug_16_17,Late,Good,28
85,-0.888366699,Gmouse,activation,1,Aug_16_17,Late,Good,28
90,-0.813598633,Gmouse,activation,1,Aug_16_17,Late,Good,28
-80,-0.017089844,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-75,-0.025634766,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-70,-0.023803711,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-65,-0.022277832,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-60,-0.03692627,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-55,-0.024719238,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-50,-0.057983398,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-45,-0.008544922,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-40,-0.02532959,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-35,-0.004272461,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-30,-0.002441406,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-25,-0.017089844,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-20,-0.057067871,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-15,-0.27557373,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-10,-1.377258301,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-5,-2.105102539,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
0,-2.268066406,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
5,-2.191162109,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
10,-2.085571289,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
15,-1.892700195,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
20,-1.718139648,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
25,-1.514282227,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
30,-1.337585449,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
35,-1.198425293,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
40,-1.048278809,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
45,-0.82244873,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
50,-0.633239746,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
55,-0.41595459,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
60,-0.223999023,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
65,-0.043029785,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
70,0.01739502,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
75,0.025024414,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
80,0.049133301,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
85,0.048522949,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
90,0.041809082,DiDiiiNC,activation,2,Aug_16_17,No,Good,28
-80,-0.01953125,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-75,-0.043334961,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-70,-0.032958984,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-65,-0.034179688,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-60,-0.059204102,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-55,-0.064086914,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-50,-0.062866211,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-45,-0.06652832,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-40,-0.061645508,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-35,-0.083007813,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-30,-0.112915039,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-25,-0.129394531,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-20,-0.190734863,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-15,-0.422668457,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-10,-1.136169434,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-5,-1.749572754,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
0,-1.870727539,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
5,-1.840820313,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
10,-1.734008789,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
15,-1.60736084,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
20,-1.45324707,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
25,-1.27532959,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
30,-1.128845215,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
35,-0.987854004,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
40,-0.837402344,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
45,-0.632019043,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
50,-0.459289551,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
55,-0.281066895,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
60,-0.117492676,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
65,0.025634766,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
