Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set,,
0,-0.824279785,NoC,activation,1,Sept_15_17,Late,Good,32,,
5,-0.766906738,NoC,activation,1,Sept_15_17,Late,Good,32,,
10,-0.712890625,NoC,activation,1,Sept_15_17,Late,Good,32,,
15,-0.612487793,NoC,activation,1,Sept_15_17,Late,Good,32,,
20,-0.551452637,NoC,activation,1,Sept_15_17,Late,Good,32,,
25,-0.491333008,NoC,activation,1,Sept_15_17,Late,Good,32,,
30,-0.459899902,NoC,activation,1,Sept_15_17,Late,Good,32,,
35,-0.392150879,NoC,activation,1,Sept_15_17,Late,Good,32,,
40,-0.342407227,NoC,activation,1,Sept_15_17,Late,Good,32,,
45,-0.301208496,NoC,activation,1,Sept_15_17,Late,Good,32,,
50,-0.241394043,NoC,activation,1,Sept_15_17,Late,Good,32,,
55,-0.191040039,NoC,activation,1,Sept_15_17,Late,Good,32,,
60,-0.153198242,NoC,activation,1,Sept_15_17,Late,Good,32,,
65,-0.126037598,NoC,activation,1,Sept_15_17,Late,Good,32,,
70,-0.085449219,NoC,activation,1,Sept_15_17,Late,Good,32,,
75,-0.045776367,NoC,activation,1,Sept_15_17,Late,Good,32,,
80,0.013427734,NoC,activation,1,Sept_15_17,Late,Good,32,,
85,0.045471191,NoC,activation,1,Sept_15_17,Late,Good,32,,
90,0.055541992,NoC,activation,1,Sept_15_17,Late,Good,32,,
-80,-0.030517578,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-75,-0.013427734,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-70,-0.022277832,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-65,-0.022277832,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-60,-0.010375977,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-55,-0.02532959,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-50,-0.025634766,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-45,-0.013427734,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-40,-0.01739502,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-35,-0.032043457,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-30,-0.057373047,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-25,-0.095825195,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-20,-0.291748047,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-15,-2.225952148,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-10,-3.143005371,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-5,-3.263244629,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
0,-3.232421875,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
5,-3.114318848,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
10,-2.963867188,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
15,-2.811889648,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
20,-2.680053711,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
25,-2.501831055,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
30,-2.359924316,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
35,-2.226257324,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
40,-2.08770752,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
45,-1.956176758,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
50,-1.813354492,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
55,-1.606140137,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
60,-1.440734863,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
65,-1.227416992,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
70,-1.045837402,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
75,-0.885925293,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
80,-0.741271973,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
85,-0.60333252,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
90,-0.483398438,DiDiiiNC,activation,1,Sept_15_17,No,Good,32,,
-80,-0.028381348,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-75,-0.028991699,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-70,-0.01953125,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-65,-0.01739502,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-60,-0.044555664,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-55,-0.068054199,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-50,-0.118103027,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-45,-0.209350586,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-40,-0.384216309,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-35,-0.545654297,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-30,-0.730285645,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-25,-0.895996094,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-20,-1.669311523,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-15,-2.858276367,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-10,-3.074645996,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-5,-3.070678711,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
0,-2.980651855,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
5,-2.81463623,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
10,-2.694396973,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
15,-2.522277832,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
20,-2.352600098,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
25,-2.197570801,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
30,-2.05871582,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
35,-1.909790039,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
40,-1.786499023,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
45,-1.643371582,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
50,-1.469726563,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
55,-1.280517578,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
60,-1.105651855,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
65,-0.933837891,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
70,-0.795898438,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
75,-0.639343262,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
80,-0.520019531,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
85,-0.387878418,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
90,-0.311584473,DiDiiiNC,activation,1,Sept_15_17,Yes,Good,32,,
-80,-0.01159668,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-75,-0.021362305,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-70,-0.033569336,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-65,-0.030212402,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-60,-0.056762695,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-55,-0.075683594,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-50,-0.140991211,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-45,-0.245056152,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-40,-0.430297852,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-35,-0.5859375,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-30,-0.746154785,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-25,-0.934143066,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-20,-1.549682617,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-15,-2.415161133,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-10,-2.677307129,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-5,-2.698059082,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
0,-2.602539063,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
5,-2.492980957,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
10,-2.34375,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
15,-2.209472656,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
20,-2.073364258,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
25,-1.915588379,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
30,-1.792297363,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
35,-1.672668457,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
40,-1.538696289,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
45,-1.354675293,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
50,-1.201477051,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
55,-1.00982666,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
60,-0.852050781,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
65,-0.693969727,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
70,-0.55847168,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
75,-0.438842773,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
80,-0.325622559,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
85,-0.223083496,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
90,-0.140991211,DiDiiiNC,activation,1,Sept_15_17,Late,Good,32,,
-80,-0.011901855,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-75,-0.010986328,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-70,-0.022277832,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-65,-0.016784668,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-60,-0.01159668,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-55,-0.024108887,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-50,-0.015258789,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-45,-0.00793457,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-40,-0.002746582,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-35,-0.009155273,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-30,-0.020751953,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-25,-0.019836426,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-20,-0.082702637,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-15,-0.612792969,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-10,-1.170349121,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-5,-1.251525879,Gmouse,activation,1,Sept_15_17,No,Good,32,,
0,-1.250610352,Gmouse,activation,1,Sept_15_17,No,Good,32,,
5,-1.20300293,Gmouse,activation,1,Sept_15_17,No,Good,32,,
10,-1.139221191,Gmouse,activation,1,Sept_15_17,No,Good,32,,
15,-1.06842041,Gmouse,activation,1,Sept_15_17,No,Good,32,,
20,-1.004943848,Gmouse,activation,1,Sept_15_17,No,Good,32,,
